id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
6041,行宫园四里,房山,370,23596元/平米,3室2厅1厨2卫,高楼层 (共13层),156.81㎡,平层,暂无数据,板楼,北 南,钢混结构,其他,两梯两户,集中供暖,有,70年,2019-10-27,一类经济适用房,2012-08-21,普通住宅,满五年,非共有,"
                                有抵押 20万元 1 业主自还
                              ",已上传房本照片
6042,百合湾,通州,730,83372元/平米,3室2厅1厨1卫,低楼层 (共20层),87.56㎡,平层,65.69㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-03-04,商品房,2015-05-14,普通住宅,满两年,非共有,"
                                有抵押 300万元 客户偿还
                              ",已上传房本照片
6043,惠民家园,门头沟,270,32406元/平米,2室1厅1厨1卫,高楼层 (共15层),83.32㎡,平层,66.58㎡,板楼,东 西,钢混结构,精装,两梯六户,集中供暖,有,70年,2018-06-14,商品房,2015-12-03,普通住宅,满两年,共有,"
                                有抵押 105万元 客户偿还
                              ",已上传房本照片
6044,云秀花园,密云,185,26197元/平米,1室1厅1厨1卫,中楼层 (共5层),70.62㎡,暂无数据,59.36㎡,暂无数据,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019-05-23,商品房,2012-06-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6045,长城国际,通州,248,43410元/平米,1室1厅1厨1卫,中楼层 (共22层),57.13㎡,暂无数据,44.16㎡,塔楼,西北,钢混结构,简装,两梯十二户,集中供暖,有,70年,2019-09-25,商品房,2013-03-15,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
6046,北街家园八区,昌平,410,35578元/平米,3室1厅1厨1卫,高楼层 (共14层),115.24㎡,平层,92.59㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-11-17,商品房,2013-12-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6047,城市亮点,东城,445,94460元/平米,1室1厅1厨1卫,高楼层 (共12层),47.11㎡,平层,38.42㎡,板塔结合,西,钢混结构,其他,三梯十七户,集中供暖,有,70年,2019-11-25,商品房,2016-12-05,普通住宅,满两年,非共有,"
                                有抵押 130万元 中信银行 客户偿还
                              ",已上传房本照片
6048,芳城园一区,丰台,910,70994元/平米,2室2厅1厨2卫,中楼层 (共17层),128.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2018-09-08,商品房,2015-03-30,普通住宅,满两年,共有,"
                                有抵押 200万元 工商银行 客户偿还
                              ",已上传房本照片
6049,东亚瑞晶苑,通州,265,32737元/平米,2室1厅1厨1卫,低楼层 (共19层),80.95㎡,平层,65.56㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-02-12,商品房,2013-03-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6050,徜徉嘉园8号院,房山,610,45377元/平米,3室2厅1厨2卫,中楼层 (共7层),134.43㎡,平层,111.48㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-06-27,商品房,2014-08-29,普通住宅,满五年,非共有,"
                                有抵押 50万元 交通银行 客户偿还
                              ",已上传房本照片
6051,西山枫林四期,石景山,517,49856元/平米,3室1厅1厨1卫,高楼层 (共6层),103.7㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-09-19,商品房,2008-06-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6052,怡清园,海淀,770,54138元/平米,3室1厅1厨2卫,低楼层 (共15层),142.23㎡,平层,117.69㎡,板塔结合,西南,钢混结构,精装,两梯十户,集中供暖,有,70年,2017-12-27,私产,2007-09-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6053,万科四季花城,顺义,470,47109元/平米,2室1厅1厨1卫,中楼层 (共9层),99.77㎡,平层,81.82㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-08-29,商品房,2012-08-15,普通住宅,满五年,非共有,"
                                有抵押 150万元 中信银行 客户偿还
                              ",已上传房本照片
6054,梧桐苑知秋园,门头沟,575,48178元/平米,3室1厅1厨2卫,中楼层 (共24层),119.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-06-18,商品房,2015-05-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6055,邑上公馆,房山,290,39759元/平米,2室1厅1厨1卫,高楼层 (共7层),72.94㎡,复式,56.73㎡,板楼,南 北,钢混结构,精装,一梯三户,暂无数据,有,70年,2019-11-25,商品房,2017-08-11,普通住宅,满两年,非共有,"
                                有抵押 76万元 中信银行 业主自还
                              ",已上传房本照片
6056,绿城百合公寓栖霞苑,房山,320,38639元/平米,2室1厅1厨1卫,底层 (共5层),82.82㎡,平层,71.77㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,40年,2018-11-02,商品房,2006-11-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6057,顺驰领海,大兴,1080,48314元/平米,4室1厅1厨3卫,高楼层 (共15层),223.54㎡,平层,185.39㎡,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,70年,2018-10-31,商品房,2014-01-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6058,双锦园,石景山,375,45046元/平米,3室1厅1厨1卫,低楼层 (共16层),83.25㎡,平层,66.7㎡,板塔结合,东 西,钢混结构,简装,两梯三户,集中供暖,有,70年,2019-02-28,私产,2004-06-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6059,兴海家园星苑,大兴,350,45770元/平米,2室1厅1厨1卫,中楼层 (共5层),76.47㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,70年,2019-12-04,商品房,2016-10-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6060,加州水郡三期,房山,248,28549元/平米,2室1厅1厨1卫,低楼层 (共15层),86.87㎡,平层,72㎡,板塔结合,东北,钢混结构,其他,两梯六户,自供暖,有,70年,2019-11-24,商品房,2016-04-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6061,峪园小区,门头沟,335,30342元/平米,3室1厅1厨1卫,中楼层 (共6层),110.41㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019-10-17,商品房,2009-12-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
6062,兴化西里,东城,518,92204元/平米,2室1厅1厨1卫,中楼层 (共5层),56.18㎡,平层,56.18㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,2019-11-27,已购公房,2007-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6063,首开知语城,朝阳,635,70611元/平米,2室1厅1厨1卫,中楼层 (共22层),89.93㎡,平层,74.5㎡,塔楼,东北,钢混结构,精装,两梯八户,自供暖,有,70年,2019-10-06,商品房,2013-10-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6064,清源西里,大兴,400,41969元/平米,3室1厅1厨1卫,中楼层 (共6层),95.31㎡,平层,暂无数据,板楼,东 西,混合结构,毛坯,一梯两户,集中供暖,无,70年,2018-05-23,已购公房,2004-11-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6065,华龙苑南里,昌平,303,60239元/平米,1室1厅1厨1卫,顶层 (共6层),50.3㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019-12-06,商品房,2015-01-19,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
6066,望园东里,丰台,600,60600元/平米,3室1厅1厨1卫,低楼层 (共24层),99.01㎡,平层,75.58㎡,塔楼,南 西,钢混结构,简装,两梯十户,集中供暖,有,70年,2018-09-14,商品房,2005-07-08,普通住宅,满五年,非共有,"
                                有抵押 300万元 招商银行 客户偿还
                              ",已上传房本照片
6067,瑞雪春堂,房山,250,34970元/平米,1室1厅1厨1卫,低楼层 (共15层),71.49㎡,平层,57.21㎡,板楼,南,钢混结构,简装,一梯四户,自供暖,有,70年,2019-05-22,商品房,2014-04-24,普通住宅,满五年,非共有,"
                                有抵押 60万元 公积金，中国建设银行
                              ",已上传房本照片
6068,新华联培训中心家属楼,通州,800,39782元/平米,4室2厅1厨3卫,底层 (共4层),201.1㎡,平层,188.09㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-06-30,商品房,2004-08-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6069,春秀路,东城,725,91104元/平米,2室2厅1厨1卫,顶层 (共6层),79.58㎡,复式,59.83㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2018-03-04,已购公房,2007-12-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6070,城子大街132号院,门头沟,299,30160元/平米,2室1厅1厨2卫,高楼层 (共6层),99.14㎡,平层,87.45㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,2018-04-06,私产,2008-10-26,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
6071,政馨园一区,丰台,240,44911元/平米,1室1厅1厨1卫,底层 (共11层),53.44㎡,平层,44.59㎡,板塔结合,北,钢混结构,精装,两梯十户,自供暖,有,70年,2019-08-23,一类经济适用房,2005-01-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6072,挂甲屯,海淀,399,74580元/平米,2室1厅1厨1卫,顶层 (共6层),53.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-04-15,已购公房,2002-03-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6073,东方财富,东城,420,93709元/平米,1室0厅1厨1卫,高楼层 (共15层),44.82㎡,平层,暂无数据,板塔结合,西,钢混结构,简装,四梯二十七户,集中供暖,有,70年,2019-07-08,商品房,2007-12-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
6074,爱民里小区,西城,850,163148元/平米,2室1厅1厨1卫,高楼层 (共7层),52.1㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,2018-08-13,已购公房,2001-02-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6075,天通苑东一区,昌平,362,42881元/平米,2室2厅1厨1卫,低楼层 (共7层),84.42㎡,平层,68.13㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-06-27,一类经济适用房,2002-11-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6076,空港吉祥花园,顺义,430,45877元/平米,3室1厅1厨1卫,中楼层 (共11层),93.73㎡,平层,80.35㎡,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,70年,2018-03-28,商品房,2010-12-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6077,爱民里小区,西城,1330,139706元/平米,3室1厅1厨1卫,底层 (共6层),95.2㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-03-15,商品房,2011-01-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6078,北大地四里,丰台,298,51238元/平米,3室1厅1厨2卫,底层 (共6层),58.16㎡,平层,41.34㎡,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,2019-10-04,已购公房,2008-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6079,南三环中路15号院,丰台,265,53612元/平米,2室1厅1厨1卫,高楼层 (共7层),49.43㎡,平层,暂无数据,板楼,西南,混合结构,精装,一梯六户,集中供暖,无,70年,2019-10-02,商品房,2016-11-22,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片
6080,阳光好东东,通州,407,46372元/平米,2室1厅1厨1卫,中楼层 (共10层),87.77㎡,平层,76.62㎡,板塔结合,南,钢混结构,简装,一梯四户,集中供暖,有,70年,2019-12-07,商品房,2006-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6081,燕化星城建德一里,房山,206,23069元/平米,3室1厅1厨1卫,顶层 (共6层),89.3㎡,平层,暂无数据,暂无数据,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,70年,2019-12-03,商品房,2018-10-15,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6082,葛布店北里,通州,230,45446元/平米,1室1厅1厨1卫,高楼层 (共6层),50.61㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-11-20,商品房,2014-12-10,普通住宅,满两年,非共有,"
                                有抵押 60万元 60
                              ",已上传房本照片
6083,果园新里北区,密云,159,28282元/平米,2室1厅1厨1卫,中楼层 (共5层),56.22㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,2019-12-06,私产,2002-08-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6084,德露苑,门头沟,288,31880元/平米,2室1厅1厨1卫,中楼层 (共6层),90.34㎡,平层,78.75㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,2019-08-19,商品房,2004-10-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6085,天通苑北三区,昌平,449,35938元/平米,3室1厅1厨2卫,中楼层 (共7层),124.94㎡,平层,112.07㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2018-12-05,一类经济适用房,2005-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6086,冠雅苑,昌平,270,39193元/平米,2室2厅1厨1卫,高楼层 (共6层),68.89㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-10-22,商品房,2011-05-25,普通住宅,满五年,非共有,"
                                有抵押 50万元 银行 客户偿还
                              ",已上传房本照片
6087,远洋山水,石景山,1260,85395元/平米,3室2厅1厨2卫,高楼层 (共14层),147.55㎡,平层,121.07㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-03-03,商品房,2012-06-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6088,幸福家园一期,东城,1160,105657元/平米,2室1厅1厨2卫,高楼层 (共18层),109.79㎡,平层,87.98㎡,塔楼,南 北,钢混结构,其他,两梯六户,集中供暖,有,70年,2019-06-13,商品房,2009-12-23,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
6089,城子西街1号院,门头沟,268,28768元/平米,3室1厅1厨1卫,高楼层 (共6层),93.16㎡,平层,82.59㎡,板楼,西 东,混合结构,其他,一梯两户,自供暖,无,70年,2019-10-20,二类经济适用房,2006-08-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6090,中仓小区,通州,286,44786元/平米,2室1厅1厨1卫,中楼层 (共5层),63.86㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-06-08,已购公房,2008-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6091,新悦家园,昌平,335,37418元/平米,2室1厅1厨1卫,低楼层 (共28层),89.53㎡,平层,73.22㎡,塔楼,南 西,钢混结构,其他,三梯八户,集中供暖,有,70年,2019-04-07,商品房,2015-08-06,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
6092,万科四季花城,顺义,515,43057元/平米,3室2厅1厨1卫,中楼层 (共11层),119.61㎡,平层,101.08㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019-03-15,商品房,2012-07-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6093,鲁谷村,石景山,340,55231元/平米,2室1厅1厨1卫,顶层 (共6层),61.56㎡,平层,43.6㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-01-11,商品房,2014-03-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6094,雍景天成,石景山,915,54297元/平米,3室2厅1厨2卫,低楼层 (共10层),168.52㎡,平层,138.79㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019-06-26,商品房,2007-12-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6095,黑山东街,门头沟,190,35661元/平米,2室1厅1厨1卫,低楼层 (共6层),53.28㎡,平层,37.76㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,2019-09-28,商品房,2019-11-25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6096,马连道中里,西城,865,99770元/平米,3室1厅1厨1卫,高楼层 (共18层),86.7㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,2019-11-10,商品房,2012-12-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
6097,富贵园四区,东城,1550,114926元/平米,3室2厅1厨2卫,中楼层 (共12层),134.87㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-05-16,商品房,2012-07-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
6098,苹果园小区一区,石景山,240,55402元/平米,1室1厅1厨1卫,高楼层 (共6层),43.32㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,集中供暖,无,70年,2019-11-25,已购公房,2014-04-25,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
6099,当代MOMA,东城,4499,116970元/平米,5室2厅1厨3卫,底层 (共7层),384.63㎡,平层,307.23㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-08-26,商品房,2015-07-07,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
6100,上龙西里,东城,508,92837元/平米,1室1厅1厨1卫,底层 (共18层),54.72㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-11-07,已购公房,2000-10-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6101,重聚园,石景山,446,51879元/平米,3室1厅1厨1卫,顶层 (共6层),85.97㎡,复式,77.3㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-12-07,商品房,2009-09-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6102,风雅园一区,昌平,538,38380元/平米,4室2厅1厨2卫,中楼层 (共6层),140.18㎡,平层,暂无数据,板楼,东 南 西,混合结构,简装,一梯三户,自供暖,无,70年,2018-12-09,商品房,2006-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6103,含晖苑,门头沟,499,37142元/平米,3室2厅1厨2卫,高楼层 (共6层),134.35㎡,平层,121.62㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-06-27,私产,2008-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6104,长阳半岛怡和路8号院,房山,648,48359元/平米,3室2厅1厨2卫,低楼层 (共9层),134㎡,平层,114.15㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-05-12,商品房,2016-02-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6105,铁东小区,海淀,595,84278元/平米,2室1厅1厨1卫,中楼层 (共11层),70.6㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯十一户,集中供暖,有,70年,2019-10-29,已购公房,2002-06-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6106,天通苑北一区,昌平,470,39875元/平米,2室1厅1厨2卫,低楼层 (共12层),117.87㎡,平层,102.88㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,2019-04-03,一类经济适用房,2005-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6107,永铁苑,东城,680,62870元/平米,3室1厅1厨1卫,中楼层 (共22层),108.16㎡,平层,暂无数据,塔楼,西北,混合结构,简装,三梯十二户,集中供暖,有,70年,2019-08-07,已购公房,2002-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6108,苏庄一里小区,房山,237,24771元/平米,2室1厅1厨1卫,中楼层 (共6层),95.68㎡,平层,83.56㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,2018-10-08,商品房,2016-11-02,普通住宅,满两年,共有,"
                                有抵押 120万元 公积金，业主能还一部分，需要客户的首付还
                              ",已上传房本照片
6109,福海棠华苑,丰台,950,69041元/平米,3室2厅1厨2卫,顶层 (共15层),137.6㎡,平层,105.86㎡,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2018-06-16,商品房,2016-09-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
6110,西山枫林四期,石景山,560,46129元/平米,3室1厅1厨2卫,低楼层 (共6层),121.4㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,2019-08-23,一类经济适用房,2007-10-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
6111,北京新天地四期,朝阳,485,51917元/平米,2室1厅1厨1卫,低楼层 (共26层),93.42㎡,平层,74.42㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,2019-09-10,商品房,2013-04-22,普通住宅,满五年,非共有,"
                                有抵押 60万元 工商银行 客户偿还
                              ",已上传房本照片
6112,万科幸福汇,房山,225,23509元/平米,3室1厅1厨1卫,高楼层 (共15层),95.71㎡,平层,76.12㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,2019-10-12,商品房,2017-09-25,普通住宅,满两年,非共有,"
                                有抵押 65万元 建设银行
                              ",已上传房本照片
6113,蔚园,丰台,400,42239元/平米,3室1厅1厨1卫,高楼层 (共20层),94.7㎡,平层,暂无数据,塔楼,南 西,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-04-12,商品房,2009-10-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6114,龙湖蔚澜香醍,通州,560,62473元/平米,2室1厅1厨1卫,中楼层 (共20层),89.64㎡,平层,69.41㎡,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2018-10-17,商品房,2013-12-14,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主可以自己自己还 业主自还
                              ",已上传房本照片
6115,沿海赛洛城七期,朝阳,438,64092元/平米,1室1厅1厨1卫,顶层 (共22层),68.34㎡,平层,49.1㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-11-23,商品房,2016-10-17,普通住宅,满两年,非共有,"
                                有抵押 190万元
                              ",已上传房本照片
6116,那尔水晶城,大兴,570,41900元/平米,2室1厅1厨1卫,低楼层 (共12层),136.04㎡,平层,116.67㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,2019-11-12,商品房,2009-03-30,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
6117,宋家庄家园,丰台,390,57127元/平米,2室1厅1厨1卫,低楼层 (共29层),68.27㎡,平层,57.27㎡,塔楼,东南,钢混结构,简装,三梯十二户,自供暖,有,70年,2019-05-20,一类经济适用房,2012-08-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6118,老山西里,石景山,300,46154元/平米,3室1厅1厨1卫,中楼层 (共16层),65㎡,平层,45.76㎡,塔楼,西北,钢混结构,简装,两梯七户,集中供暖,有,70年,2019-08-09,已购公房,1998-06-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6119,流星花园一区,昌平,1270,49947元/平米,6室2厅1厨3卫,底层 (共3层),254.27㎡,复式,242.16㎡,暂无数据,南 北,混合结构,简装,一梯九户,自供暖,无,70年,2019-09-20,商品房,2014-03-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6120,万年花城二期,丰台,835,66891元/平米,3室1厅1厨2卫,低楼层 (共11层),124.83㎡,平层,103.73㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,2019-09-16,商品房,2014-06-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6121,东柳西里,朝阳,225,48597元/平米,2室1厅1厨1卫,中楼层 (共5层),46.3㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,2019-11-17,已购公房,2011-02-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6122,新龙城,昌平,590,47057元/平米,3室2厅1厨2卫,中楼层 (共20层),125.38㎡,平层,100.56㎡,板楼,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,2018-11-02,商品房,2008-07-22,普通住宅,满五年,非共有,"
                                有抵押 438万元 民生银行企业经营贷 业主自还
                              ",已上传房本照片
6123,智汇雅苑,房山,338,37774元/平米,2室1厅1厨1卫,低楼层 (共18层),89.48㎡,平层,70.7㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,2019-07-29,商品房,2017-06-12,普通住宅,满两年,非共有,"
                                有抵押 110万元 中国 客户偿还
                              ",已上传房本照片
6124,朝阳门内大街甲190号院,东城,535,99001元/平米,2室1厅1厨1卫,顶层 (共6层),54.04㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,暂无数据,无,70年,2018-11-19,已购公房,2001-05-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6125,德露苑,门头沟,287,32215元/平米,2室2厅1厨1卫,低楼层 (共6层),89.09㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-08-04,已购公房,2001-12-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6126,牛街西里,西城,720,94937元/平米,2室1厅1厨1卫,低楼层 (共20层),75.84㎡,平层,49.4㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,2019-11-08,二类经济适用房,2011-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6127,大方居,通州,330,36967元/平米,2室1厅1厨1卫,中楼层 (共22层),89.27㎡,平层,71.42㎡,板塔结合,东 西,钢混结构,精装,两梯六户,集中供暖,有,70年,2019-11-12,限价商品房,2012-07-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6128,华龙小区,通州,310,38809元/平米,2室1厅1厨2卫,中楼层 (共6层),79.88㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-11-19,商品房,2008-08-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6129,天通苑东二区,昌平,460,29006元/平米,3室2厅1厨2卫,高楼层 (共7层),158.59㎡,复式,133.35㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-12-08,商品房,2014-12-05,普通住宅,满五年,非共有,"
                                有抵押 220万元
                              ",已上传房本照片
6130,天竺花园,顺义,898,39213元/平米,4室2厅1厨3卫,高楼层 (共14层),229.01㎡,复式,186.73㎡,板塔结合,南 北,混合结构,其他,一梯两户,自供暖,有,70年,2018-10-22,商品房,2015-08-28,普通住宅,满两年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
6131,富贵园四区,东城,1800,137900元/平米,3室2厅1厨2卫,高楼层 (共12层),130.53㎡,平层,107.35㎡,板塔结合,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-11-11,商品房,2008-06-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
